"ncit_value","origin_id"
"bilateral","C13332"
"bile_duct_adenocarcinoma","C27813"
"bile_duct_adenoma","C2942"
"bile_duct_cancer","C27814"
"bile_duct_carcinoma","C27814"
"bile_duct_cystadenocarcinoma","C4130"
"bile_duct_cystadenoma","C4129"
"biliary_intraepithelial_neoplasia_grade_3","C67493"
"biliary_papillomatosis","C6881"
"biliary_tract_nos","C12678"
"biochemical_evidence_of_disease_without_structural_correlate","C165197"
"biopsy","C15189"
"birc3","C20356"
"birc6","C20352"
"bispecific_antibody_agen1223","C171161"
"bispecific_antibody_amg_509","C168580"
"bispecific_antibody_gs1423","C167206"
"bite_antibody_amg_910","C170815"
"bizalimogene_ralaplasmid","C77909"
"bizarre_leiomyoma","C4257"
"black_adenoma","C4164"
"black_or_african_american","C16352"
"bladder_cancer","C4912"
"bladder_neck","C12336"
"bladder_nos","C12414"
"blast_cell_leukemia","C9300"
"blastic_nk_cell_lymphoma","C7203"
"blastic_plasmacytoid_dendritic_cell_neoplasm","C7203"
"blastoma_nos","C8997"
"blm","C20805"
"blood","C12434"
"blood_cancer","C116915"
"blood_draw","C17610"
"blood_urea_nitrogen","C61019"
"blue_nevus_malignant","C4240"
"blue_nevus_nos","C3803"
"bmp5","C21353"
"bmpr1a","C21366"
"body_of_pancreas","C12270"
"body_of_penis","C12325"
"body_of_stomach","C12258"
"bolivia","C16359"
"bomedemstat","C131827"
"bone","C12366"
"bone_cancer","C4016"
"bone_marrow","C12431"
"bone_marrow_aspirate","C133261"
"bone_nos","C12366"
"bone_of_limb_nos","C32223"
"bosnia_and_herzegovina","C16361"
"botryoid_sarcoma","C9150"
"botswana","C16363"
"bowen_disease","C62571"
"braf","C18363"
"braf_inhibitor_bgb3245","C173633"
"brafv600e_kinase_inhibitor_abm1310","C170951"
"brain","C12439"
"brain_cancer","C3568"
"brain_nos","C12439"
"brain_stem","C12441"
"branchial_cleft","C104813"
"brazil","C16364"
"brca1","C17965"
"brca2","C18120"
"brd3","C97397"
"brd4","C92702"
"breast_cancer","C4872"
"breast_nos","C12971"
"brenner_tumor_borderline_malignancy","C9459"
"brenner_tumor_malignant","C4270"
"brenner_tumor_nos","C39954"
"brenner_tumor_proliferating","C9459"
"brip1","C63526"
"broad_ligament","C12318"
"bronchial_adenoma_nos","C3494"
"bronchialassociated_lymphoid_tissue_lymphoma","C5264"
"bronchioalveolar_carcinoma_mixed_mucinous_and_nonmucinous","C7270"
"bronchioalveolar_carcinoma_mucinous","C7268"
"bronchiolar_adenocarcinoma","C2923"
"bronchiolar_carcinoma","C2923"
"bronchioloalveolar_adenocarcinoma_nos","C2923"
"bronchioloalveolar_carcinoma_clara_cell","C7269"
"bronchioloalveolar_carcinoma_clara_cell_and_goblet_cell_type","C7270"
"bronchioloalveolar_carcinoma_goblet_cell_type","C7268"
"bronchioloalveolar_carcinoma_indeterminate_type","C7270"
"bronchioloalveolar_carcinoma_nonmucinous","C7269"
"bronchioloalveolar_carcinoma_nos","C2923"
"bronchioloalveolar_carcinoma_type_ii_pneumocyte","C7269"
"bronchioloalveolar_carcinoma_type_ii_pneumocyte_and_goblet_cell_type","C7270"
"brooke_tumor","C27132"
"brother","C25289"
"brotherinlaw","C71406"
"brown_fat_tumor","C3702"
"brunei","C16367"
"btg1","C80101"
"btk","C75013"
"btk_inhibitor_hza018","C174394"
"bub1b","C95592"
"buccal_mucosa","C12505"
"buffy_coat","C84507"
"bulgaria","C16368"
"burkina_faso","C16369"
"burkitt_cell_leukemia","C7400"
"burkitt_lymphoma_nos_includes_all_variants","C2912"
"burkitt_tumor","C2912"
"burkittlike_lymphoma","C6917"
"burning_tree_smoke","C164075"
"burundi","C16371"
"ca125","C325"
"ca199","C327"
"cacna1d","C113769"
"calcifying_epithelial_odontogenic_tumor","C54301"
"calcifying_epithelioma_of_malherbe","C7368"
"calcifying_odontogenic_cyst","C54319"
"calcium","C64488"
"calcium_releaseactivated_channel_inhibitor_cm4620","C166417"
"call","C27797"
"calr","C95313"
"cambodia","C16378"
"cameroon","C16379"
"camidanlumab_tesirine","C121949"
"camta1","C101440"
"canada","C16380"
"cancer","C9305"
"cancer_related","C82561"
"cant1","C97375"
"cape_verde","C16382"
"capillary_hemangioma","C7457"
"carbon_c_14pamiparib","C173441"
"carcinoid_nos","C2915"
"carcinoid_tumor_nos","C2915"
"carcinoid_tumor_of_uncertain_malignant_potential","C65196"
"carcinoma_anaplastic_nos","C3692"
"carcinoma_diffuse_type","C4127"
"carcinoma_in_a_polyp_nos","C7682"
"carcinoma_in_adenomatous_polyp","C7676"
"carcinoma_in_pleomorphic_adenoma","C4397"
"carcinoma_in_situ_in_a_polyp_nos","C7681"
"carcinoma_in_situ_in_adenomatous_polyp","C7678"
"carcinoma_in_situ_nos","C2917"
"carcinoma_intestinal_type","C4126"
"carcinoma_metastatic_nos","C3482"
"carcinoma_nos","C2916"
"carcinoma_showing_thymuslike_differentiation","C46106"
"carcinoma_showing_thymuslike_element","C46106"
"carcinoma_simplex","C65195"
"carcinoma_undifferentiated_nos","C3692"
"carcinoma_with_apocrine_metaplasia","C4202"
"carcinoma_with_chondroid_differentiation","C47847"
"carcinoma_with_neuroendocrine_differentiation","C66745"
"carcinoma_with_osseous_differentiation","C47848"
"carcinoma_with_productive_fibrosis","C2928"
"carcinomatosis","C3693"
"carcinosarcoma_nos","C34448"
"card11","C60668"
"cardia_nos","C12256"
"cardiovascular_disorder_nos","C2931"
"carotid_body","C66852"
"carotid_body_paraganglioma","C2932"
"carotid_body_tumor","C2932"
"cars","C97369"
"cartilaginous_exostosis","C3295"
"casp8","C26623"
"castle","C46106"
"cationic_peptide_cream_cypep1","C171374"
"cauda_equina","C12689"
"cavernous_hemangioma","C3086"
"cavernous_lymphangioma","C53316"
"cayman_islands","C16391"
"cbfa2t3","C97445"
"cbfb","C18584"
"cbl","C18364"
"cblb","C21589"
"cblc","C97439"
"ccdc6","C18376"
"ccnb1ip1","C97372"
"ccnc","C105393"
"ccnd1","C18021"
"ccnd2","C39596"
"ccnd3","C97381"
"ccne1","C21412"
"ccr4","C129065"
"ccr7","C104128"
"cd10","C16836"
"cd117","C17328"
"cd11b_agonist_gb1275","C165605"
"cd123cd33_compound_car_t_cells","C173970"
"cd123specific_targeting_module_tm123","C175461"
"cd138","C96914"
"cd14","C17488"
"cd15","C96898"
"cd19","C38894"
"cd20","C38896"
"cd209","C21568"
"cd20cd19_compound_car_t_cells","C173960"
"cd22","C17279"
"cd23","C96902"
"cd25","C17073"
"cd274","C96022"
"cd28","C21291"
"cd28icos_antagonist_alpn101","C168584"
"cd3","C38897"
"cd30","C38906"
"cd33","C97246"
"cd34","C17280"
"cd44v6specific_car_tcells","C173368"
"cd45","C17282"
"cd5","C73124"
"cd56","C17891"
"cd7","C38935"
"cd73_inhibitor_ab680","C167156"
"cd73_inhibitor_ly3475070","C170952"
"cd74","C97418"
"cd79a","C97421"
"cd79b","C97424"
"cd80fc_fusion_protein_alpn202","C174515"
"cd80fc_fusion_protein_fpt155","C169063"
"cd99","C102939"
"cdc73","C43569"
"cdh1","C18249"
"cdh10","C143093"
"cdh11","C97427"
"cdh17","C143096"
"cdk12","C101095"
"cdk2_inhibitor_pf07104091","C175251"
"cdk4","C18250"
"cdk46_inhibitor_cs3002","C174417"
"cdk46_inhibitor_hs10342","C170749"
"cdk46_inhibitor_tqb3616","C171344"
"cdk6","C97384"
"cdk7_inhibitor_sy5609","C172390"
"cdk819_inhibitor_sel_120","C165747"
"cdkn1a","C17782"
"cdkn1b","C20060"
"cdkn2a","C18022"
"cdkn2c","C24288"
"cdx2","C24292"
"cea","C25159"
"cebp_beta_antagonist_st101","C174169"
"cebpa","C39598"
"cecum","C12381"
"cedazuridineazacitidine_combination_agent_astx030","C171649"
"cellular_angiofibroma","C27257"
"cellular_blue_nevus","C4241"
"cellular_ependymoma","C4713"
"cellular_fibroma","C6892"
"cellular_leiomyoma","C4256"
"cellular_schwannoma","C4724"
"cellularity","C111153"
"cementifying_fibroma","C8422"
"cementoblastoma_benign","C4308"
"cementoma_nos","C4308"
"cementoossifying_fibroma","C8422"
"cenpa","C152974"
"central_african_republic","C16409"
"central_nervous_system","C12438"
"central_neuroblastoma","C3270"
"central_neurocytoma","C3791"
"central_odontogenic_fibroma","C4314"
"central_osteosarcoma","C35870"
"central_portion_of_breast","C12300"
"central_primitive_neuroectodermal_tumor_nos","C5398"
"cep89","C122887"
"cerebellar_liponeurocytoma","C6905"
"cerebellar_sarcoma_nos","C66803"
"cerebellum_nos","C12445"
"cereblon_e3_ubiquitin_ligase_modulating_agent_cc99282","C172396"
"cerebral_cortex","C12443"
"cerebral_meninges","C12349"
"cerebrospinal_fluid","C12692"
"cerebrum","C12351"
"ceruminous_adenocarcinoma","C4176"
"ceruminous_adenoma","C6088"
"ceruminous_carcinoma","C4176"
"cervical","C32298"
"cervical_cancer","C9039"
"cervical_esophagus","C12250"
"cervical_intraepithelial_neoplasia_grade_iii","C4000"
"cervical_intraepithelial_neoplasia_low_grade","C4630"
"cervix_uteri","C12311"
"cetuximab_sarotalocan","C121850"
"cevostamab","C139549"
"chad","C16412"
"chchd7","C97403"
"chd2","C75307"
"chd4","C128251"
"cheek_mucosa","C12505"
"chek2","C40965"
"chemodectoma","C2932"
"chga","C21167"
"chic2","C97406"
"chief_cell_adenoma","C4154"
"child","C16423"
"chile","C16427"
"china","C16428"
"chloroma","C3520"
"chlorotoxin_eqcd28cd3zetacd19texpressing_car_tlymphocytes","C167056"
"cholangiocarcinoma","C4436"
"cholangioma","C2942"
"chondroblastic_osteosarcoma","C4021"
"chondroblastoma_nos","C2945"
"chondroid_chordoma","C6902"
"chondroid_lipoma","C6503"
"chondroid_syringoma","C4474"
"chondroma_nos","C53459"
"chondromatosis_nos","C35259"
"chondromatous_giant_cell_tumor","C2945"
"chondromyxoid_fibroma","C3830"
"chondrosarcoma","C2946"
"chondrosarcoma_nos","C2946"
"chordoid_glioma","C5592"
"chordoid_glioma_of_third_ventricle","C5592"
"chordoid_meningioma","C6908"
"chordoma_nos","C2947"
"chorioadenoma","C6985"
"chorioadenoma_destruens","C6985"
"chorioangioma","C4868"
"choriocarcinoma_combined_with_embryonal_carcinoma","C66777"
"choriocarcinoma_combined_with_other_germ_cell_elements","C66777"
"choriocarcinoma_nos","C2948"
"chorioepithelioma","C2948"
"chorionepithelioma","C2948"
"choroid","C12344"
"choroid_plexus_carcinoma","C4715"
"choroid_plexus_papilloma_anaplastic","C4715"
"choroid_plexus_papilloma_malignant","C4715"
"choroid_plexus_papilloma_nos","C3698"
"chr1","C13204"
"chr10","C13205"
"chr11","C13206"
"chr12","C13207"
"chr13","C13208"
"chr14","C13209"
"chr15","C13210"
"chr16","C13211"
"chr17","C13212"
"chr18","C13213"
"chr19","C13214"
"chr2","C13215"
"chr20","C13216"
"chr21","C13217"
"chr22","C13218"
"chr23","C33542"
"chr3","C13219"
"chr4","C13220"
"chr5","C13221"
"chr6","C13222"
"chr7","C13223"
"chr8","C13224"
"chr9","C13225"
"chrimerism","C62582"
"chrm","C28512"
"chromaffin_paraganglioma","C3326"
"chromaffin_tumor","C4216"
"chromaffinoma","C4216"
"chromogranin_a","C122108"
"chromogranin_b","C174116"
"chromophobe_adenocarcinoma","C4146"
"chromophobe_adenoma","C2857"
"chromophobe_carcinoma","C4146"
"chromophobe_cell_renal_carcinoma","C4146"
"chronic_eosinophilic_leukemia_nos","C4563"
"chronic_granulocytic_leukemia_bcrabl","C9128"
"chronic_granulocytic_leukemia_nos","C3174"
"chronic_granulocytic_leukemia_philadelphia_chromosome_ph1_positive","C9128"
"chronic_granulocytic_leukemia_t922q34q11","C9128"
"chronic_idiopathic_myelofibrosis","C2862"
"chronic_leukemia_nos","C3483"
"chronic_lymphatic_leukemia","C3163"
"chronic_lymphocytic_leukemia","C3163"
"chronic_lymphocytic_leukemia_bcell_type_includes_all_variants_of_bcll","C3163"
"chronic_lymphoid_leukemia","C3163"
"chronic_lymphoproliferative_disorder_of_nk_cells","C39591"
"chronic_monocytic_leukemia","C34774"
"chronic_myelocytic_leukemia_nos","C3174"
"chronic_myelogenous_leukemia_bcrabl_positive","C3174"
"chronic_myelogenous_leukemia_philadelphia_chromosome_ph_1_positive","C9128"
"chronic_myelogenous_leukemia_t922q34q11","C9128"
"chronic_myeloid_leukemia_nos","C3174"
"chronic_myelomonocytic_leukemia_in_transformation","C3178"
"chronic_myelomonocytic_leukemia_nos","C3178"
"chronic_myeloproliferative_disease_nos","C4345"
"chronic_myeloproliferative_disorder","C4345"
"chronic_neutrophilic_leukemia","C3179"
"chrx","C13285"
"chry","C13286"
"chst11","C143061"
"cic","C97912"
"cigar","C1813"
"cigarette","C1802"
"ciita","C96013"
"ciliary_body","C12345"
"ciltacabtagene_autoleucel","C148498"
"cin_iii_nos","C4000"
"cin_iii_with_severe_dysplasia","C4000"
"cinrebafusp_alfa","C142890"
"cintirorgon","C131294"
"circulating_tumor_cells","C96593"
"circumscribed_arachnoidal_cerebellar_sarcoma","C4956"
"ck1alphacdk7cdk9_inhibitor_btxa51","C169027"
"classical_hodgkin_lymphoma_lymphocyte_depletion_nos","C9283"
"classical_hodgkin_lymphoma_lymphocyterich","C6913"
"classical_hodgkin_lymphoma_mixed_cellularity_nos","C3517"
"classical_hodgkin_lymphoma_nodular_sclerosis_cellular_phase","C67171"
"classical_hodgkin_lymphoma_nodular_sclerosis_grade_1","C7165"
"classical_hodgkin_lymphoma_nodular_sclerosis_grade_2","C7166"
"classical_hodgkin_lymphoma_nodular_sclerosis_nos","C3518"
"clear_cell_adenocarcinoma_mesonephroid","C3766"
"clear_cell_adenocarcinoma_nos","C3766"
"clear_cell_adenofibroma","C8987"
"clear_cell_adenoma","C4151"
"clear_cell_carcinoma","C3766"
"clear_cell_chondrosarcoma","C6475"
"clear_cell_cystadenofibroma","C8988"
"clear_cell_ependymoma","C4714"
"clear_cell_glycogenrich_urothelial_carcinoma","C39827"
"clear_cell_hidradenoma","C7567"
"clear_cell_meningioma","C4722"
"clear_cell_odontogenic_carcinoma","C54300"
"clear_cell_odontogenic_tumor","C54300"
"clear_cell_sarcoma_nos","C3745"
"clear_cell_sarcoma_of_kidney","C4264"
"clear_cell_tumor_nos","C66752"
"clip1","C84464"
"clitoris","C12308"
"cloacogenic_carcinoma","C8255"
"cloacogenic_zone","C32072"
"clonal","C96960"
"clonality","C18304"
"clp1","C97528"
"cltc","C97412"
"cltcl1","C97415"
"cm0_i","C95956"
"cmet_inhibitor_abn401","C170765"
"cmet_inhibitor_gsthg161","C175449"
"cnbd1","C143056"
"cnbp","C97888"
"cnot3","C107658"
"cns_cancer","C4627"
"cns_embryonal_tumor_with_rhabdoid_features","C129501"
"cntnap2","C73461"
"cntrl","C97891"
"coal_smoke_nos","C164060"
"cobolimab","C128627"
"coding_sequence_variant","C148639"
"codman_tumor","C2945"
"cofetuzumab_pelidotin","C123828"
"col1a1","C29949"
"col2a1","C75315"
"col3a1","C143052"
"collecting_duct_carcinoma","C6194"
"colloid_adenocarcinoma","C26712"
"colloid_adenoma","C4161"
"colloid_carcinoma","C26712"
"colombia","C16449"
"colon","C12382"
"colon_nos","C12382"
"colorectal_cancer","C2955"
"coltuximab_ravtansine","C71009"
"combined_carcinoid_and_adenocarcinoma","C4139"
"combined_hepatocellular_carcinoma_and_cholangiocarcinoma","C3828"
"combined_large_cell_neuroendocrine_carcinoma","C7267"
"combined_small_cell_carcinoma","C9137"
"combined_small_celladenocarcinoma","C9379"
"combined_small_cellsquamous_cell_carcinoma","C9137"
"combinedmixed_carcinoid_and_adenocarcinoma","C4139"
"comedocarcinoma_nos","C4188"
"commensal_bacterial_strain_formulation_ve800","C167393"
"commissure_of_lip","C12227"
"common_all","C27797"
"common_precursor_b_all","C27797"
"comoros","C16458"
"comparative_genomic_hybridization","C18084"
"complete_hydatidiform_mole","C4871"
"complex_odontoma","C4309"
"composite_carcinoid","C4139"
"compound_nevus","C3901"
"compound_odontoma","C3711"
"condylomatous_carcinoma","C3781"
"congenital_fibrosarcoma","C4244"
"congo","C16467"
"conjunctiva","C12341"
"connective_tissue","C12374"
"conventional_central_osteosarcoma","C35870"
"conversion","C165230"
"cook_islands","C16469"
"cookingrelated_smoke_nos","C164061"
"copper_cu_67_tyr3octreotate","C171370"
"copy_number_reported","C49142"
"cord_blood_derived_car_tcells","C172058"
"core_biopsy","C15680"
"cornea_nos","C12342"
"corpus_uteri","C12316"
"cortex_of_adrenal_gland","C12396"
"cortical_t_all","C27820"
"cosibelimab","C151947"
"costa_rica","C16470"
"cote_divoire","C16762"
"cousin","C71410"
"cox6c","C24308"
"coxsackievirus_v937","C61493"
"cpdclinical_progression","C17747"
"cpnet","C5398"
"cranial_nerve_nos","C12700"
"craniopharyngeal_duct","C12357"
"craniopharyngioma","C2964"
"craniopharyngioma_adamantinomatous","C4726"
"craniopharyngioma_papillary","C4725"
"crcomplete_response","C4870"
"creactive_protein","C64548"
"creatinine","C64547"
"creb1","C38536"
"creb3l1","C95477"
"creb3l2","C95480"
"crebbp","C26568"
"cribiform","C35920"
"cribriform_carcinoma_nos","C3680"
"crlf2","C97430"
"crnkl1","C143049"
"croatia","C16474"
"crtc1","C95449"
"crtc3","C95276"
"crucomplete_response_unconfirmed","C165198"
"csf1r","C18516"
"csf1r_inhibitor_absk021","C173651"
"csf3r","C24313"
"csmd3","C143042"
"ctcf","C73679"
"ctnna2","C143115"
"ctnnb1","C20987"
"ctnnd1","C79770"
"ctnnd2","C82941"
"cuba","C16477"
"cul3","C24323"
"curacao","C101225"
"cutaneous_histiocytoma_nos","C6801"
"cutaneous_lymphoma_nos","C7162"
"cutaneous_mastocytosis","C7137"
"cutaneous_tcell_lymphoma_nos","C3467"
"cux1","C95578"
"cxcr4","C24327"
"cxcr4eselectin_antagonist_gmi1359","C167271"
"cyld","C92678"
"cylindrical_cell_carcinoma","C54287"
"cylindroma_nos","C2970"
"cylindroma_of_skin","C27094"
"cyp11a1_inhibitor_odm209","C172052"
"cyp17cyp11b2_inhibitor_lae001","C102855"
"cyp2c8","C46071"
"cyprus","C16480"
"cysltr2","C143039"
"cystadenocarcinoma_nos","C2971"
"cystadenofibroma_nos","C8985"
"cystadenoma_nos","C2972"
"cystic_astrocytoma","C7173"
"cystic_hygroma","C3724"
"cystic_lymphangioma","C3724"
"cystic_mesothelioma_nos","C3765"
"cystic_partially_differentiated_nephroblastoma","C6897"
"cystic_teratoma_nos","C9014"
"cystic_tumor_of_atrioventricular_node","C45754"
"cystoma_nos","C2972"
"cystosarcoma_phyllodes_benign","C4274"
"cystosarcoma_phyllodes_malignant","C4275"
"cystosarcoma_phyllodes_nos","C2977"
"cystoscopy","C16482"
"cytogenetics_nos","C18280"
"cytology","C16491"
"czech_republic_czechia","C17668"
"dabska_tumor","C7526"
"daratumumab_and_hyaluronidasefihj","C156401"
"daughter","C25165"
"daughterinlaw","C71401"
"daxx","C24330"
"dcaf12l2","C143036"
"dcc","C17358"
"dcis_nos","C2924"
"dcis_papillary","C4190"
"dctn1","C122875"
"ddb2","C93075"
"ddit3","C92539"
"ddr2","C24333"
"ddx10","C97457"
"ddx3x","C101565"
"ddx5","C97460"
"ddx6","C18378"
"dead","C28554"
"death_certificate","C163970"
"debulking","C15749"
"decitabine_and_cedazuridine","C115102"
"dedifferentiated_chondrosarcoma","C6476"
"dedifferentiated_chordoma","C48876"
"dedifferentiated_liposarcoma","C3704"
"deep_gray_eg_basal_ganglia_thalamus","C158080"
"deep_histiocytoma","C6492"
"degenerated_schwannoma","C6556"
"dek","C24339"
"deletion","C19296"
"deletioninsertion","C171175"
"delolimogene_mupadenorepvec","C148462"
"democratic_republic_of_the_congo","C17266"
"dendrimerconjugated_bcl2bclxl_inhibitor_azd0466","C173660"
"dendritic_cell_sarcoma_nos","C27260"
"dengue_virus_adjuvant_pv001dv","C173443"
"denmark","C16496"
"dentinoma","C54323"
"dermal_and_epidermal_nevus","C3901"
"dermal_nevus","C3804"
"dermatofibroma_lenticulare","C6801"
"dermatofibroma_nos","C6801"
"dermatofibrosarcoma_nos","C4683"
"dermatofibrosarcoma_protuberans_nos","C4683"
"dermoid_cyst_nos","C9011"
"dermoid_cyst_with_malignant_transformation","C4289"
"dermoid_cyst_with_secondary_tumor","C4289"
"dermoid_nos","C9011"
"descending_colon","C12268"
"desmoid_nos","C9182"
"desmoplastic_fibroma","C3740"
"desmoplastic_infantile_astrocytoma","C9476"
"desmoplastic_infantile_ganglioglioma","C4738"
"desmoplastic_medulloblastoma","C4956"
"desmoplastic_melanoma_amelanotic","C37257"
"desmoplastic_melanoma_malignant","C37257"
"desmoplastic_mesothelioma","C6747"
"desmoplastic_nodular_medulloblastoma","C4956"
"desmoplastic_small_round_cell_tumor","C8300"
"dgcr8","C92663"
"di_guglielmo_disease","C7467"
"diagnostic_imaging","C16502"
"dicer1","C25956"
"differentiatedtype_vulvar_intraepithelial_neoplasia","C37272"
"differentiating","C42048"
"diffuse","C14175"
"diffuse_astrocytoma","C7173"
"diffuse_astrocytoma_idhmutant","C129271"
"diffuse_astrocytoma_idhwildtype","C129274"
"diffuse_astrocytoma_low_grade","C7173"
"diffuse_cutaneous_mastocytosis","C3218"
"diffuse_intraductal_papillomatosis","C7364"
"diffuse_large_bcell_lymphoma_associated_with_chronic_inflammation","C80289"
"diffuse_large_bcell_lymphoma_nos","C8851"
"diffuse_leptomeningeal_glioneuronal_tumor","C129424"
"diffuse_melanocytosis","C6890"
"diffuse_meningiomatosis","C3707"
"diffuse_midline_glioma_h3_k27mmutant","C129309"
"digital_papillary_adenocarcinoma","C27534"
"diktyoma_malignant","C4327"
"dilation_and_curettage_procedure","C15226"
"dilpacimab","C116750"
"din_3","C7949"
"diploid","C118941"
"distant_metastasis","C18206"
"djibouti","C16506"
"dna","C449"
"dnajb1","C122560"
"dnapk_inhibitor_azd7648","C168692"
"dnapkpi3kdelta_inhibitor_br101801","C172111"
"dnm2","C102796"
"dnmt1_inhibitor_ntx301","C174424"
"dnmt3a","C73652"
"dociparstat_sodium","C99130"
"dome_of_bladder","C12332"
"domestic_partner","C53262"
"dominica","C16519"
"dominican_republic","C16520"
"dostarlimab","C126799"
"downstream_gene_variant","C63431"
"doxorubicin_prodrugprodrugactivating_biomaterial_sq3370","C167221"
"drinker","C126383"
"drosha","C25955"
"dtrmwxhs12everolimuspomalidomide_combination_agent_dtrm555","C173999"
"duct_adenocarcinoma_nos","C4017"
"duct_adenoma_nos","C3785"
"duct_carcinoma_nos","C4017"
"duct_cell_carcinoma","C4017"
"ductal_carcinoma_cribriform_type","C3680"
"ductal_carcinoma_in_situ_cribriform_type","C5138"
"ductal_carcinoma_in_situ_nos","C2924"
"ductal_carcinoma_in_situ_papillary","C4190"
"ductal_carcinoma_nos","C4017"
"ductal_intraepithelial_neoplasia_3","C7949"
"ductal_papilloma","C3785"
"dudisease_unchanged","C71687"
"duodenum","C12263"
"duplication","C45582"
"dux4l1","C124048"
"dysembryoplastic_neuroepithelial_tumor","C9505"
"dysgerminoma","C2996"
"dysplastic_gangliocytoma_of_cerebellum_lhermitteduclos","C8419"
"dysplastic_nevus","C3694"
"ebf1","C80023"
"ebv_positive_diffuse_large_bcell_lymphoma_of_the_elderly","C80281"
"ecchondroma","C3295"
"ecchondrosis","C53457"
"eccrine_acrospiroma","C7563"
"eccrine_cystadenoma","C7565"
"eccrine_dermal_cylindroma","C27094"
"eccrine_papillary_adenocarcinoma","C27534"
"eccrine_papillary_adenoma","C4173"
"eccrine_poroma","C27273"
"eccrine_poroma_malignant","C5560"
"eccrine_spiradenoma","C4170"
"ecl_cell_carcinoid_malignant","C27252"
"ecl_cell_carcinoid_nos","C27252"
"ect2l","C101452"
"ectomesenchymoma","C4716"
"ectopic_hamartomatous_thymoma","C53595"
"ecuador","C16528"
"edicotinib","C101519"
"edodekin_alfa","C1380"
"eed","C101721"
"eftozanermin_alfa","C146854"
"egfr","C17757"
"egfr_inhibitor_ty9591","C175445"
"egfr_mutantselective__inhibitor_tqb3804","C173415"
"egfregfrviii_inhibitor_wsd0922fu","C165778"
"egfrher2_inhibitor_dzd9008","C167205"
"egfrtgfb_fusion_monoclonal_antibody_bca101","C173165"
"egfrvegfrret_inhibitor_ha12128","C173436"
"egypt","C16530"
"eif1ax","C131315"
"eif3e","C18347"
"eif4a2","C97467"
"el_salvador","C16532"
"elastofibroma","C4245"
"electrical_fire_smoke","C164077"
"electronic_cigarette","C120482"
"electronic_cigarette_smoke_nos","C164062"
"elf3","C20899"
"elf4","C97470"
"elk4","C97476"
"ell","C97516"
"eln","C75333"
"embryonal_adenocarcinoma","C3752"
"embryonal_carcinoma_infantile","C3011"
"embryonal_carcinoma_nos","C3752"
"embryonal_hepatoma","C3728"
"embryonal_rhabdomyosarcoma_nos","C8971"
"embryonal_sarcoma","C27096"
"embryonal_teratoma","C4286"
"embryonal_tumor_with_multilayered_rosettes_c19mcaltered","C4915"
"embryonal_tumor_with_multilayered_rosettes_nos","C129499"
"embryonal_tumor_with_rhabdoid_features","C129501"
"embryonic_fluid","C13398"
"embryonic_tissue","C12950"
"emibetuzumab","C95732"
"eml4","C71003"
"enadenotucirevexpressing_fapcd3_bispecific_faptac_ng641","C168790"
"encapsulated_papillary_carcinoma","C156034"
"encapsulated_papillary_carcinoma_with_invasion","C66850"
"encapsulated_rapamycin","C173879"
"encelimab","C142978"
"enchondroma","C3007"
"endemic","C27122"
"endocervical_adenocarcinoma_usual_type","C127907"
"endocervix","C12309"
"endocrine_adenomatosis","C6432"
"endocrine_gland_nos","C12704"
"endocrine_tumor_functioning_nos","C94759"
"endodermal_sinus_tumor","C3011"
"endolymphatic_stromal_myosis","C4263"
"endometrial_sarcoma_nos","C8973"
"endometrial_stromal_nodule","C4262"
"endometrial_stromal_sarcoma_high_grade","C8972"
"endometrial_stromal_sarcoma_low_grade","C4263"
"endometrial_stromal_sarcoma_nos","C8973"
"endometrial_stromatosis","C4263"
"endometrioid_adenocarcinoma_ciliated_cell_variant","C27848"
"endometrioid_adenocarcinoma_nos","C3769"
"endometrioid_adenocarcinoma_secretory_variant","C27839"
"endometrioid_adenocarcinoma_villoglandular","C27846"
"endometrioid_adenofibroma_borderline_malignancy","C7983"
"endometrioid_adenofibroma_nos","C27287"
"endometrioid_adenoma_borderline_malignancy","C7983"
"endometrioid_carcinoma_nos","C3769"
"endometrioid_carcinoma_with_squamous_differentiation","C6290"
"endometrioid_cystadenocarcinoma","C3769"
"endometrioid_cystadenofibroma_borderline_malignancy","C7983"
"endometrioid_cystadenofibroma_nos","C27288"
"endometrioid_cystadenoma_borderline_malignancy","C7983"
"endometrioid_tumor_of_low_malignant_potential","C7983"
"endometrium","C12313"
"endothelin_b_receptor_blocker_enb_003","C175447"
"endotheliomatous_meningioma","C4329"
"endovascular_papillary_angioendothelioma","C7526"
"endstage_renal_disease","C9439"
"engineered_red_blood_cells_coexpressing_41bbl_and_il15tp_rtx240","C172990"
"engineered_toxin_body_targeting_cd38_tak169","C173707"
"enterochromaffinlike_cell_carcinoid_nos","C27252"
"enterochromaffinlike_cell_tumor_malignant","C27252"
"enteroglucagonoma_malignant","C65191"
"enteroglucagonoma_nos","C66925"
"enteropathy_associated_tcell_lymphoma","C4737"
"enteropathy_type_intestinal_tcell_lymphoma","C4737"
"enucleation","C48601"
"environmental_tobacco_smoke","C17140"
"eosinophil","C64550"
"eosinophil_adenocarcinoma","C4147"
"eosinophil_adenoma","C6780"
"eosinophil_carcinoma","C4147"
"eosinophilic_granuloma","C3016"
"eosinophilic_leukemia","C4563"
"ep2ep4_antagonist_tpst1495","C174460"
"ep300","C26569"
"ep4_antagonist_inv1120","C173520"
"epas1","C104303"
"epcoritamab","C163022"
